epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,5969.85,0.84914,0.7612,0.81396,0.83953,0.6805,0.79664,0.614,0.72595,0.56016,0.80188,0.00308412,0.00308412,0.00308412
65,6062.79,0.8594,0.76203,0.81177,0.829,0.69995,0.80001,0.61677,0.72455,0.55108,0.80137,0.00294239,0.00294239,0.00294239
66,6156.27,0.8577,0.76607,0.81236,0.8451,0.70057,0.80548,0.62131,0.72479,0.54715,0.80123,0.00280275,0.00280275,0.00280275
67,6249.47,0.85188,0.74693,0.81067,0.86051,0.69929,0.80747,0.62235,0.72475,0.54474,0.80102,0.00266532,0.00266532,0.00266532
68,6342.13,0.84611,0.73516,0.81143,0.8525,0.6861,0.80488,0.6222,0.72068,0.53949,0.80124,0.00253024,0.00253024,0.00253024
69,6441.07,0.83695,0.73095,0.81036,0.85899,0.69989,0.8119,0.62833,0.71872,0.53355,0.80073,0.00239766,0.00239766,0.00239766
70,6553.3,0.84142,0.72472,0.81426,0.87176,0.69649,0.8155,0.63075,0.7166,0.52955,0.80044,0.00226769,0.00226769,0.00226769
71,6664.19,0.84635,0.71679,0.81312,0.85389,0.70625,0.8166,0.63287,0.71621,0.52556,0.80001,0.00214046,0.00214046,0.00214046
72,6776.08,0.83425,0.70991,0.8092,0.84857,0.71285,0.81927,0.63293,0.71487,0.5207,0.7997,0.00201611,0.00201611,0.00201611
73,6885.84,0.83455,0.70802,0.80837,0.84304,0.71426,0.82083,0.63502,0.71425,0.51811,0.79965,0.00189475,0.00189475,0.00189475
74,6995,0.83102,0.70282,0.81053,0.85359,0.71883,0.82225,0.63572,0.71351,0.51529,0.79935,0.00177651,0.00177651,0.00177651
75,7105.88,0.83037,0.68669,0.81392,0.83881,0.72691,0.82062,0.63433,0.71137,0.51291,0.79892,0.00166149,0.00166149,0.00166149
76,7217.21,0.82348,0.69488,0.80994,0.85612,0.72203,0.82405,0.63763,0.70959,0.50753,0.79898,0.00154982,0.00154982,0.00154982
77,7326.03,0.82138,0.67421,0.81162,0.8489,0.73225,0.82985,0.64224,0.70962,0.50492,0.79935,0.00144161,0.00144161,0.00144161
78,7423.66,0.81657,0.67034,0.80822,0.85034,0.73959,0.8312,0.64248,0.7098,0.50239,0.79946,0.00133695,0.00133695,0.00133695
79,7522.47,0.8169,0.66643,0.81017,0.85019,0.74201,0.83042,0.64279,0.70897,0.5007,0.79957,0.00123596,0.00123596,0.00123596
80,7618.29,0.81535,0.67157,0.80644,0.85575,0.74012,0.83095,0.64296,0.71029,0.49953,0.79906,0.00113873,0.00113873,0.00113873
81,7713.06,0.81396,0.65897,0.80856,0.85409,0.74073,0.83322,0.64373,0.71004,0.49702,0.79883,0.00104537,0.00104537,0.00104537
82,7810.01,0.80956,0.64476,0.80805,0.85569,0.74319,0.83603,0.64681,0.7074,0.49407,0.79866,0.000955951,0.000955951,0.000955951
83,7914.25,0.81617,0.65616,0.80801,0.84271,0.74352,0.83601,0.64771,0.70591,0.4931,0.79843,0.000870577,0.000870577,0.000870577
84,8015.08,0.80521,0.64512,0.80985,0.84183,0.74348,0.83598,0.6459,0.70444,0.49114,0.79816,0.000789327,0.000789327,0.000789327
85,8108.74,0.80085,0.63498,0.80626,0.83822,0.75115,0.83715,0.64803,0.70386,0.49027,0.7981,0.000712282,0.000712282,0.000712282
86,8202.37,0.79389,0.63861,0.80602,0.83993,0.75632,0.83844,0.64896,0.70337,0.48763,0.79795,0.000639518,0.000639518,0.000639518
87,8297.18,0.80321,0.6374,0.80552,0.86171,0.74155,0.83945,0.64929,0.70303,0.48631,0.79781,0.000571106,0.000571106,0.000571106
88,8391.16,0.80008,0.62782,0.80781,0.87026,0.73877,0.84024,0.64962,0.70294,0.4844,0.7977,0.000507115,0.000507115,0.000507115
89,8484.8,0.8022,0.62942,0.80446,0.86861,0.73951,0.83999,0.64923,0.70232,0.48264,0.79753,0.000447606,0.000447606,0.000447606
90,8578.58,0.78253,0.6125,0.80646,0.85934,0.74545,0.84099,0.65034,0.702,0.48098,0.79741,0.00039264,0.00039264,0.00039264
1,103.688,1.50991,6.1001,0.88682,0.35829,0.08883,0.04787,0.03079,1.24941,2.87574,0.84096,6.79392e-05,6.79392e-05,6.79392e-05
